source_file,category,region,url,name_jp,name_en,place_id,lat,lng,google_maps_url,google_rating,google_reviews,business_status,hours_raw_count,has_hours_raw,parsed_weekday_days,hours_confidence,hours_today,hours_week,hours_policy_count,advisory_count,special_day_window_count,has_all_day_hours,has_overnight_hours,has_split_service,missing_place_id,missing_coordinates,missing_google_maps_url,missing_google_rating,missing_google_reviews,missing_business_status,missing_google_core,missing_hours_structural,hours_need_review,id,placeId,webapp_category,closure_state,webapp_hours_confidence,webapp_google_score,webapp_google_reviews,_merge,in_webapp
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/hyogo/A2803/A280304/28029394/,majide hamal,,ChIJVyzNG-jxAGARNKXQFxllzSM,34.750519,135.392838,https://www.google.com/maps/place/?q=place_id:ChIJVyzNG-jxAGARNKXQFxllzSM,4.2,36,,0,False,0,low,Closed,Mon-Sun closed,0,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJVyzNG-jxAGARNKXQFxllzSM,ChIJVyzNG-jxAGARNKXQFxllzSM,Asian Ethnic,active,low,4.2,36,both,True
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/osaka/A2701/A270201/27045608/,アリーズ キッチン,,ChIJuya5pRDnAGARL5HekU97Hag,34.6747998,135.5009395,https://www.google.com/maps/place/?q=place_id:ChIJuya5pRDnAGARL5HekU97Hag,4.3,1713,,0,False,0,low,Closed,Mon-Sun closed,0,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJuya5pRDnAGARL5HekU97Hag,ChIJuya5pRDnAGARL5HekU97Hag,Asian Ethnic,active,low,4.3,1713,both,True
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/osaka/A2701/A270202/27044516/,シンズキッチン,,ChIJJ193dmrnAGAR18d2fz9CbWg,34.665652,135.506229,https://www.google.com/maps/place/?q=place_id:ChIJJ193dmrnAGAR18d2fz9CbWg,4.0,714,,0,False,0,low,Closed,Mon-Sun closed,0,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJJ193dmrnAGAR18d2fz9CbWg,ChIJJ193dmrnAGAR18d2fz9CbWg,Asian Ethnic,active,low,4.0,714,both,True
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/okinawa/A4703/A470301/47000033/,チャーリー多幸寿,,ChIJ8_bUwA8S5TQRP6VkBFHG7iU,26.3401333,127.7993306,https://www.google.com/maps/place/?q=place_id:ChIJ8_bUwA8S5TQRP6VkBFHG7iU,4.3,1192,,0,False,0,low,Closed,Mon-Sun closed,0,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJ8_bUwA8S5TQRP6VkBFHG7iU,ChIJ8_bUwA8S5TQRP6VkBFHG7iU,Asian Ethnic,active,low,4.3,1192,both,True
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/nara/A2902/A290203/29003583/,一平ちゃん,,ChIJVVVO0-0vAWARlrPbcEsmBuo,34.6030488,135.7375531,https://www.google.com/maps/place/?q=place_id:ChIJVVVO0-0vAWARlrPbcEsmBuo,4.4,142,,0,False,0,low,Closed,Mon-Sun closed,0,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJVVVO0-0vAWARlrPbcEsmBuo,ChIJVVVO0-0vAWARlrPbcEsmBuo,Asian Ethnic,active,low,4.4,142,both,True
tabelog_Asian_Ethnic_EAST_2025.json,Asian Ethnic,EAST,https://tabelog.com/kanagawa/A1405/A140504/14011047/,(食)越南,(Shoku) Vietnam,ChIJGWWlprf1GGARwV1xOIMDifI,35.5877605,139.6321987,https://maps.google.com/?cid=17476503691110473153&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,425,OPERATIONAL,2,True,6,high,Closed,Mon closed; Tue-Sun 11:40-15:00 (L.O. 14:00) · 17:30-22:00,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,ChIJGWWlprf1GGARwV1xOIMDifI,ChIJGWWlprf1GGARwV1xOIMDifI,Asian Ethnic,active,high,4.3,425,both,True
tabelog_Asian_Ethnic_WEST_2025.json,Asian Ethnic,WEST,https://tabelog.com/fukuoka/A4001/A400103/40041110/,106 サウスインディアン 福岡天神店,106 South Indian Fukuoka Tenjin Ten,ChIJSTteAoWRQTURFwcY2sy94TI,33.5861325,130.3986257,https://www.google.com/maps/place/?q=place_id:ChIJSTteAoWRQTURFwcY2sy94TI,4.3,669,,3,True,6,high,11:00-15:00 (L.O. 14:30) · Break 15:00-17:00 · 17:00-22:00 (L.O. 21:30),"Mon, Wed-Sun 11:00-15:00 (L.O. 14:30) · 17:00-22:00 (L.O. 21:30); Tue closed",0,0,2,False,False,True,False,False,False,False,False,True,False,False,False,ChIJSTteAoWRQTURFwcY2sy94TI,ChIJSTteAoWRQTURFwcY2sy94TI,Asian Ethnic,active,high,4.3,669,both,True
tabelog_Asian_Ethnic_TOKYO_2025.json,Asian Ethnic,TOKYO,https://tabelog.com/tokyo/A1304/A130404/13196997/,ネパール民族料理 アーガン,AANGAN,ChIJq6p2CyaNGGAR-cWuh3IzJew,35.7014698,139.7024693,https://www.google.com/maps/place/?q=place_id:ChIJq6p2CyaNGGAR-cWuh3IzJew,4.3,986,,2,True,7,high,11:00-15:00 · Break 15:00-15:00 · 15:00-23:30 (L.O. 23:00),Mon-Sun 11:00-15:00 · 15:00-23:30 (L.O. 23:00),1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,ChIJq6p2CyaNGGAR-cWuh3IzJew,ChIJq6p2CyaNGGAR-cWuh3IzJew,Asian Ethnic,active,high,4.3,986,both,True
tabelog_Asian_Ethnic_TOKYO_2025.json,Asian Ethnic,TOKYO,https://tabelog.com/tokyo/A1317/A131701/13248455/,ADI,ADI,ChIJo0fYFl-LGGAR1XxmAvRbo80,35.6417517,139.695619,https://www.google.com/maps/place/?q=place_id:ChIJo0fYFl-LGGAR1XxmAvRbo80,4.6,118,,1,True,0,low,Closed,Mon-Sun closed,1,0,0,False,False,False,False,False,False,False,False,True,False,True,True,ChIJo0fYFl-LGGAR1XxmAvRbo80,ChIJo0fYFl-LGGAR1XxmAvRbo80,Asian Ethnic,active,low,4.6,118,both,True
tabelog_Asian_Ethnic_TOKYO_2025.json,Asian Ethnic,TOKYO,https://tabelog.com/tokyo/A1308/A130803/13000438/,アジャンタ,AJANTA,ChIJGXDwhmOMGGARFo0bjKveKu8,35.6861406,139.7369243,https://www.google.com/maps/place/?q=place_id:ChIJGXDwhmOMGGARFo0bjKveKu8,4.1,873,,3,True,7,high,10:00-22:30 (L.O. 22:00),Mon-Sat 10:00-22:30 (L.O. 22:00); Sun 10:00-21:30 (L.O. 21:00),1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,ChIJGXDwhmOMGGARFo0bjKveKu8,ChIJGXDwhmOMGGARFo0bjKveKu8,Asian Ethnic,active,high,4.1,873,both,True
